Local time,Open,High,Low,Close,Volume
30.01.2005 22:00:00.000 GMT-0000,1.88703,1.89139,1.87259,1.87565,750551.9570000002
06.02.2005 22:00:00.000 GMT-0000,1.87319,1.87495,1.84974,1.86824,748397.5863999998
13.02.2005 22:00:00.000 GMT-0000,1.86878,1.89733,1.86541,1.89396,753210.9029999999
20.02.2005 22:00:00.000 GMT-0000,1.89271,1.91937,1.89056,1.91923,755097.5077999999
27.02.2005 22:00:00.000 GMT-0000,1.91771,1.92692,1.90464,1.92251,749142.4423999997
06.03.2005 22:00:00.000 GMT-0000,1.92302,1.93231,1.91118,1.92583,754795.0604000003
13.03.2005 22:00:00.000 GMT-0000,1.92540,1.92897,1.90982,1.92191,746616.7135000001
20.03.2005 22:00:00.000 GMT-0000,1.92009,1.92131,1.86578,1.87026,776026.7973
27.03.2005 23:00:00.000 GMT+0100,1.87003,1.89656,1.85903,1.88178,836573.3491000003
03.04.2005 22:00:00.000 GMT+0100,1.88127,1.88549,1.86686,1.88499,871892.1920999998
10.04.2005 22:00:00.000 GMT+0100,1.88498,1.89640,1.87535,1.89238,795056.0767
17.04.2005 22:00:00.000 GMT+0100,1.89132,1.92137,1.88813,1.91414,752305.9417999997
24.04.2005 22:00:00.000 GMT+0100,1.91431,1.91720,1.89882,1.90857,761438.9541999998
01.05.2005 22:00:00.000 GMT+0100,1.90771,1.90814,1.88838,1.89033,749471.8218999997
08.05.2005 22:00:00.000 GMT+0100,1.88989,1.89090,1.84805,1.85044,755526.3834999999
15.05.2005 22:00:00.000 GMT+0100,1.84993,1.85060,1.82310,1.82665,754179.0768000003
22.05.2005 22:00:00.000 GMT+0100,1.82678,1.83559,1.81850,1.82386,737773.1287999995
29.05.2005 22:00:00.000 GMT+0100,1.82326,1.82552,1.80753,1.81491,742505.4486000005
05.06.2005 22:00:00.000 GMT+0100,1.81348,1.83982,1.81056,1.81185,723886.9236
12.06.2005 22:00:00.000 GMT+0100,1.81173,1.83090,1.79997,1.83067,739672.0859999999
19.06.2005 22:00:00.000 GMT+0100,1.82951,1.83280,1.81255,1.82433,741897.06
26.06.2005 22:00:00.000 GMT+0100,1.82399,1.83113,1.76671,1.76717,739314.9984999999
03.07.2005 22:00:00.000 GMT+0100,1.76743,1.76743,1.73096,1.73765,742238.7520000002
10.07.2005 22:00:00.000 GMT+0100,1.73775,1.77854,1.73525,1.75154,739699.278
17.07.2005 22:00:00.000 GMT+0100,1.75134,1.76131,1.72798,1.73862,738379.3070000003
24.07.2005 22:00:00.000 GMT+0100,1.73837,1.76080,1.73303,1.75739,735443.7569000004
31.07.2005 22:00:00.000 GMT+0100,1.75713,1.78277,1.75374,1.77895,738183.2141999998
07.08.2005 22:00:00.000 GMT+0100,1.77758,1.81740,1.77282,1.81471,744227.2686
14.08.2005 22:00:00.000 GMT+0100,1.81460,1.81695,1.78897,1.79432,743770.2294000002
21.08.2005 22:00:00.000 GMT+0100,1.79580,1.80943,1.79043,1.80008,747386.3381999998
28.08.2005 22:00:00.000 GMT+0100,1.80061,1.84452,1.78186,1.84169,741480.6337999998
04.09.2005 22:00:00.000 GMT+0100,1.84146,1.84985,1.83188,1.83929,743623.0018999999
11.09.2005 22:00:00.000 GMT+0100,1.83976,1.84239,1.80188,1.80813,741644.1630999999
18.09.2005 22:00:00.000 GMT+0100,1.80703,1.81444,1.77437,1.77506,741925.6658999999
25.09.2005 22:00:00.000 GMT+0100,1.77280,1.77979,1.75650,1.76522,737134.3694999998
02.10.2005 22:00:00.000 GMT+0100,1.76472,1.78097,1.75126,1.76075,737399.4487
09.10.2005 22:00:00.000 GMT+0100,1.75997,1.77041,1.73906,1.76805,732914.0825000005
16.10.2005 22:00:00.000 GMT+0100,1.76828,1.77946,1.74217,1.76807,741589.7906000001
23.10.2005 22:00:00.000 GMT+0100,1.76715,1.79001,1.76315,1.77294,736455.2053000003
30.10.2005 22:00:00.000 GMT-0000,1.77367,1.78217,1.74564,1.74885,735307.5719999997
06.11.2005 22:00:00.000 GMT-0000,1.74779,1.75158,1.73271,1.74145,739663.5303
13.11.2005 22:00:00.000 GMT-0000,1.74170,1.74943,1.70977,1.71725,735010.0988000002
20.11.2005 22:00:00.000 GMT-0000,1.71723,1.72832,1.70665,1.71425,720608.081
27.11.2005 22:00:00.000 GMT-0000,1.71322,1.73738,1.70474,1.73245,722602.0567999999
04.12.2005 22:00:00.000 GMT-0000,1.73150,1.75623,1.72707,1.75445,726504.2669000003
11.12.2005 22:00:00.000 GMT-0000,1.75009,1.78061,1.74884,1.77275,728293.6732999998
18.12.2005 22:00:00.000 GMT-0000,1.76872,1.77286,1.73037,1.73335,726867.5263
25.12.2005 22:00:00.000 GMT-0000,1.73379,1.74053,1.71274,1.72260,739855.4065000003
01.01.2006 22:00:00.000 GMT-0000,1.72255,1.77183,1.71755,1.77035,732130.2846000001
08.01.2006 22:00:00.000 GMT-0000,1.76792,1.77775,1.75201,1.77655,732834.6012999993
15.01.2006 22:00:00.000 GMT-0000,1.77647,1.77939,1.75275,1.77055,730955.9054000002
22.01.2006 22:00:00.000 GMT-0000,1.77004,1.79303,1.76651,1.76705,744352.0552999999
29.01.2006 22:00:00.000 GMT-0000,1.76816,1.78562,1.75919,1.76255,722805.3126000004
05.02.2006 22:00:00.000 GMT-0000,1.76269,1.76386,1.73749,1.74402,727551.4112000001
12.02.2006 22:00:00.000 GMT-0000,1.74368,1.74853,1.72802,1.74180,725553.7763
19.02.2006 22:00:00.000 GMT-0000,1.74053,1.75526,1.73611,1.74545,731356.8477999999
26.02.2006 22:00:00.000 GMT-0000,1.74382,1.75913,1.73747,1.75525,733502.7231
05.03.2006 22:00:00.000 GMT-0000,1.75587,1.76210,1.72305,1.72580,735041.9168999998
12.03.2006 22:00:00.000 GMT-0000,1.72565,1.75941,1.72273,1.75615,731521.6646999995
19.03.2006 22:00:00.000 GMT-0000,1.75567,1.75849,1.73085,1.74205,728412.0069
26.03.2006 23:00:00.000 GMT+0100,1.74235,1.75336,1.73160,1.73690,732807.4162000003
02.04.2006 22:00:00.000 GMT+0100,1.73647,1.76136,1.72492,1.74245,737720.0472
09.04.2006 22:00:00.000 GMT+0100,1.74158,1.75709,1.73737,1.75085,722564.9581000003
16.04.2006 22:00:00.000 GMT+0100,1.75117,1.79334,1.74628,1.78210,728226.2744
23.04.2006 22:00:00.000 GMT+0100,1.78357,1.82561,1.77919,1.82540,736071.2451000002
30.04.2006 22:00:00.000 GMT+0100,1.82423,1.86207,1.82043,1.85886,728787.3179999999
07.05.2006 22:00:00.000 GMT+0100,1.85986,1.89939,1.85135,1.89425,732973.1996000004
14.05.2006 22:00:00.000 GMT+0100,1.89420,1.90180,1.87001,1.87925,736046.6927
21.05.2006 22:00:00.000 GMT+0100,1.87920,1.88842,1.85285,1.85895,743216.4922000001
28.05.2006 22:00:00.000 GMT+0100,1.85875,1.88626,1.85587,1.88185,731362.9187
04.06.2006 22:00:00.000 GMT+0100,1.88180,1.88752,1.83672,1.83965,737269.0970999997
11.06.2006 22:00:00.000 GMT+0100,1.83960,1.85567,1.83137,1.84990,739144.1607000001
18.06.2006 22:00:00.000 GMT+0100,1.84985,1.85265,1.81293,1.81720,739275.7786999999
25.06.2006 22:00:00.000 GMT+0100,1.81715,1.84980,1.80759,1.84980,742527.3551000002
