time,open,high,low,close,Volume,Volume MA
1999-09-01T21:00:00Z,174.975,176.43499999999997,174.125,175.565,0,0
1999-09-02T21:00:00Z,175.565,177.475,175.40499999999997,175.74499999999998,0,0
1999-09-05T21:00:00Z,175.74499999999998,176.92499999999998,175.445,176.18499999999997,0,0
1999-09-06T21:00:00Z,176.18499999999997,178.915,175.605,177.80499999999998,0,0
1999-09-07T21:00:00Z,177.80499999999998,180.17499999999998,177.565,180.105,0,0
1999-09-08T21:00:00Z,180.105,180.105,175.605,176.595,0,0
1999-09-09T21:00:00Z,176.595,179.30499999999998,175.77499999999998,176.385,0,0
1999-09-12T21:00:00Z,176.385,176.875,170.845,171.575,0,0
1999-09-13T21:00:00Z,171.575,172.64499999999998,169.05499999999998,170.21499999999997,0,0
1999-09-14T21:00:00Z,170.21499999999997,170.40499999999997,166.005,168.70499999999998,0,0
1999-09-15T21:00:00Z,168.70499999999998,171.065,167.64499999999998,170.68499999999997,0,0
1999-09-16T21:00:00Z,170.68499999999997,174.64499999999998,169.855,174.64499999999998,0,0
1999-09-19T21:00:00Z,174.64499999999998,175.565,171.725,172.415,0,0
1999-09-20T21:00:00Z,172.415,174.125,169.195,171.33499999999998,0,0
1999-09-21T21:00:00Z,171.33499999999998,171.945,169.095,170.015,0,0
1999-09-22T21:00:00Z,170.015,171.14499999999998,168.70499999999998,170.915,0,0
1999-09-23T21:00:00Z,170.915,173.315,170.725,173.315,0,0
1999-09-26T21:00:00Z,173.315,175.27499999999998,170.96499999999997,174.24499999999998,0,0
1999-09-27T21:00:00Z,174.24499999999998,176.095,173.55499999999998,175.605,0,0
1999-09-28T21:00:00Z,175.605,176.515,174.845,176.24499999999998,0,0
1999-09-29T21:00:00Z,176.24499999999998,176.535,173.315,175.14499999999998,0,0
1999-09-30T21:00:00Z,175.14499999999998,175.18499999999997,173.285,173.975,0,0
1999-10-03T21:00:00Z,173.975,176.265,173.23499999999999,175.795,0,0
1999-10-04T21:00:00Z,175.795,177.14499999999998,175.30499999999998,176.165,0,0
1999-10-05T21:00:00Z,176.165,178.505,175.52499999999998,178.105,0,0
1999-10-06T21:00:00Z,178.105,178.785,177.015,177.015,0,0
1999-10-07T21:00:00Z,177.015,178.295,176.815,177.45499999999998,0,0
1999-10-10T21:00:00Z,177.45499999999998,177.46499999999997,176.08499999999998,176.71499999999997,0,0
1999-10-11T21:00:00Z,176.71499999999997,176.725,175.415,176.035,0,0
1999-10-12T21:00:00Z,176.035,178.515,175.635,176.595,0,0
1999-10-13T21:00:00Z,176.595,178.74499999999998,176.33499999999998,178.74499999999998,0,0
1999-10-14T21:00:00Z,178.74499999999998,178.93499999999997,175.785,175.875,0,0
1999-10-17T21:00:00Z,175.875,176.58499999999998,174.975,176.21499999999997,0,0
1999-10-18T21:00:00Z,176.21499999999997,176.74499999999998,175.565,176.355,0,0
1999-10-19T21:00:00Z,176.355,178.095,176.015,177.08499999999998,0,0
1999-10-20T21:00:00Z,177.08499999999998,177.99499999999998,176.595,177.785,0,0
1999-10-21T21:00:00Z,177.785,178.095,175.11499999999998,175.40499999999997,0,0
1999-10-24T21:00:00Z,175.40499999999997,176.15499999999997,174.975,175.255,0,0
1999-10-25T21:00:00Z,175.255,175.46499999999997,172.765,173.24499999999998,0,0
1999-10-26T21:00:00Z,173.24499999999998,173.36499999999998,171.035,172.02499999999998,0,0
1999-10-27T21:00:00Z,172.02499999999998,172.575,170.725,172.545,0,0
1999-10-28T21:00:00Z,172.545,172.665,170.385,171.355,0,0
1999-10-31T22:00:00Z,171.355,172.43499999999997,170.595,171.05499999999998,0,0
1999-11-01T22:00:00Z,171.05499999999998,172.93499999999997,170.875,171.355,0,0
1999-11-02T22:00:00Z,171.355,173.11499999999998,170.71499999999997,172.385,0,0
1999-11-03T22:00:00Z,172.385,173.40499999999997,169.83499999999998,170.255,0,0
1999-11-04T22:00:00Z,170.255,172.93499999999997,169.915,172.33499999999998,0,0
1999-11-07T22:00:00Z,172.33499999999998,172.64499999999998,170.135,170.43499999999997,0,0
1999-11-08T22:00:00Z,170.43499999999997,171.095,169.86499999999998,170.385,0,0
1999-11-09T22:00:00Z,170.385,170.71499999999997,169.80499999999998,170.295,0,0
1999-11-10T22:00:00Z,170.295,171.30499999999998,169.96499999999997,170.17499999999998,0,0
1999-11-11T22:00:00Z,170.17499999999998,170.375,169.11499999999998,170.135,0,0
1999-11-14T22:00:00Z,170.135,170.345,169.005,170.105,0,0
1999-11-15T22:00:00Z,170.105,171.915,169.92499999999998,171.24499999999998,0,0
1999-11-16T22:00:00Z,171.24499999999998,172.05499999999998,170.815,171.61499999999998,0,0
1999-11-17T22:00:00Z,171.61499999999998,172.375,170.765,171.005,0,0
1999-11-18T22:00:00Z,171.005,172.385,170.975,172.255,0,0
1999-11-21T22:00:00Z,172.255,172.65499999999997,169.49499999999998,169.67499999999998,0,0
1999-11-22T22:00:00Z,169.67499999999998,170.195,168.86499999999998,169.45499999999998,0,0
1999-11-23T22:00:00Z,169.45499999999998,170.105,167.915,168.65499999999997,0,0
1999-11-24T22:00:00Z,168.65499999999997,168.975,167.855,168.33499999999998,0,0
1999-11-25T22:00:00Z,168.33499999999998,168.64499999999998,162.71499999999997,164.565,0,0
1999-11-28T22:00:00Z,164.565,167.005,162.65499999999997,164.89499999999998,0,0
1999-11-29T22:00:00Z,164.89499999999998,165.18499999999997,162.11499999999998,163.135,0,0
1999-11-30T22:00:00Z,163.135,164.61499999999998,162.945,164.265,0,0
1999-12-01T22:00:00Z,164.265,164.545,163.315,164.46499999999997,0,0
1999-12-02T22:00:00Z,164.46499999999997,164.55499999999998,163.52499999999998,164.42499999999998,0,0
1999-12-05T22:00:00Z,164.42499999999998,167.65499999999997,163.36499999999998,166.33499999999998,0,0
1999-12-06T22:00:00Z,166.33499999999998,168.18499999999997,165.93499999999997,166.415,0,0
1999-12-07T22:00:00Z,166.415,167.80499999999998,166.33499999999998,167.595,0,0
1999-12-08T22:00:00Z,167.595,168.195,165.98499999999999,166.55499999999998,0,0
1999-12-09T22:00:00Z,166.55499999999998,166.90499999999997,165.65499999999997,166.20499999999998,0,0
1999-12-12T22:00:00Z,166.20499999999998,167.80499999999998,165.83499999999998,167.605,0,0
1999-12-13T22:00:00Z,167.605,167.71499999999997,166.64499999999998,166.945,0,0
1999-12-14T22:00:00Z,166.945,167.21499999999997,165.93499999999997,166.565,0,0
1999-12-15T22:00:00Z,166.565,166.93499999999997,165.015,166.18499999999997,0,0
1999-12-16T22:00:00Z,166.18499999999997,166.915,165.23499999999999,165.755,0,0
1999-12-19T22:00:00Z,165.755,166.005,164.18499999999997,165.14499999999998,0,0
